funding_rounds,founder_experience_years,team_size,market_size_billion,product_traction_users,burn_rate_million,revenue_million,investor_type,sector,founder_background,outcome
3,0,223,80.43387161,311215,9.996123347,1125617.178,angel,AI,first_time,Acquisition
4,6,69,34.25838691,243840,32.16366276,944107.8722,tier2_vc,SaaS,academic,Acquisition
1,22,110,38.41715147,178393,38.06373101,284008.9249,tier2_vc,SaaS,first_time,Acquisition
3,13,214,15.60818748,200957,31.03257848,557306.6702,tier2_vc,Crypto,academic,Acquisition
1,3,190,2.228456571,115027,28.71578288,230449.5509,tier2_vc,Health,ex_bigtech,Failure
4,18,62,16.32093882,339094,7.672093823,978259.5838,none,Health,serial_founder,Acquisition
4,23,123,30.58664802,608748,5.055398384,2012611.255,angel,Climate,first_time,IPO
2,24,190,5.731130477,172283,36.87908365,296591.5361,tier2_vc,Ecommerce,serial_founder,Acquisition
0,3,131,74.21672546,222696,20.7927016,626143.6434,tier1_vc,Ecommerce,first_time,Failure
0,13,249,22.06066476,162875,27.83376323,697229.3044,tier1_vc,Climate,ex_bigtech,Acquisition
2,20,212,13.44556106,58270,21.20632169,111376.752,tier2_vc,Ecommerce,ex_bigtech,Acquisition
2,1,121,52.41304029,436331,13.03629006,1433061.526,tier2_vc,SaaS,academic,Acquisition
2,1,297,10.19593293,215153,6.855398166,886912.7177,tier1_vc,Crypto,ex_bigtech,Failure
1,0,164,20.77328944,200086,6.510126257,374953.6896,none,Crypto,ex_bigtech,Failure
5,18,25,3.597804601,240050,1.789032714,630379.1741,angel,Ecommerce,serial_founder,Acquisition
4,22,101,13.57143882,426625,8.74540724,1319037.494,none,Climate,academic,Acquisition
0,7,49,19.99854708,38864,19.00755011,102438.8894,angel,Crypto,ex_bigtech,Failure
1,3,249,44.72880816,44892,2.90332122,146319.0257,none,SaaS,first_time,Failure
2,24,148,47.98916708,165499,24.75605276,777412.2256,tier1_vc,Health,academic,Failure
2,11,13,18.03504685,483371,40.91529348,2349164.98,tier2_vc,Ecommerce,serial_founder,Acquisition
0,13,42,23.90805408,249005,6.380478969,321933.9911,tier1_vc,Ecommerce,academic,Failure
2,20,220,37.23496825,180816,12.36153059,868391.9819,angel,SaaS,first_time,Failure
2,9,239,22.59766216,124821,5.313183486,519450.0107,angel,SaaS,serial_founder,Failure
3,23,150,7.293797545,524572,28.03562834,1469450.975,angel,Climate,ex_bigtech,IPO
1,16,207,10.74195842,117590,20.76722556,302034.4057,tier2_vc,Health,first_time,Failure
0,4,30,17.24002562,266759,62.20493395,1216309.291,tier1_vc,AI,academic,Acquisition
2,20,63,8.506557573,10170,29.66434277,25073.85717,tier1_vc,Health,serial_founder,Failure
2,9,19,42.52077802,210678,24.57003254,638158.1854,angel,Crypto,serial_founder,Failure
1,3,55,77.47141467,193834,14.17835235,317267.9143,none,SaaS,academic,Failure
3,3,291,55.6975352,461468,28.05311641,2190656.492,none,Crypto,serial_founder,Acquisition
2,10,13,4.793961073,232345,28.82230375,347977.0001,tier2_vc,SaaS,ex_bigtech,Failure
3,9,122,122.3460915,492349,38.98482507,1856432.169,tier1_vc,Climate,first_time,Acquisition
2,24,257,60.32187464,452910,12.62880659,2093330.04,tier2_vc,Climate,first_time,Acquisition
0,8,45,35.31383237,278989,19.02409352,525406.184,none,Crypto,first_time,Failure
2,22,149,23.2111089,275222,4.929168118,896913.3051,angel,Ecommerce,first_time,Failure
1,10,127,13.86511094,218341,13.96743656,626967.4652,none,Crypto,serial_founder,Failure
1,6,25,68.02550244,330550,9.143240904,1456722.456,tier2_vc,Fintech,serial_founder,Failure
3,9,114,7.074301378,198626,4.759696701,278825.5996,tier1_vc,AI,ex_bigtech,Failure
1,15,17,60.79897069,334533,6.193325408,225026.4273,tier2_vc,Fintech,ex_bigtech,Failure
4,0,278,88.65182332,305473,9.620269761,1508330.929,angel,AI,serial_founder,Acquisition
2,16,57,8.320362073,421703,2.675099069,1705072.511,tier2_vc,Climate,first_time,Acquisition
0,6,205,20.05257123,220601,7.107698339,583709.814,none,Crypto,ex_bigtech,Failure
4,0,52,4.4632607,202541,15.84642101,787102.1994,tier2_vc,Fintech,first_time,Failure
5,10,239,44.50595202,319813,7.699952236,1169195.944,none,Health,ex_bigtech,Acquisition
2,15,296,12.15781447,313407,42.85771174,1417642.082,tier2_vc,Crypto,first_time,Acquisition
0,23,63,31.74616411,580301,8.66216969,2610801.983,tier2_vc,Climate,serial_founder,Acquisition
0,3,284,29.45361498,202438,2.636533945,438479.5811,none,Fintech,academic,Failure
1,0,270,5.856402006,137006,12.33763029,274588.1446,tier2_vc,Ecommerce,ex_bigtech,Failure
1,7,156,10.02448682,174058,15.73339508,211060.1534,none,Crypto,serial_founder,Failure
2,19,32,285.2523341,409008,9.392671517,781757.6075,tier2_vc,Ecommerce,academic,Acquisition
2,22,261,8.077990376,33145,12.9610548,54914.99712,none,Fintech,academic,Acquisition
5,14,216,17.10743854,124749,19.62663412,468665.483,none,Fintech,academic,Failure
1,14,98,35.94895985,277679,32.32572829,586140.3493,tier2_vc,Fintech,first_time,Acquisition
2,24,142,16.50299392,320718,17.07167143,1411251.404,tier2_vc,Crypto,serial_founder,Acquisition
4,0,148,44.7127576,384768,9.418306519,870073.529,none,Ecommerce,first_time,Failure
1,9,220,5.781297208,273053,4.92528389,1099441.951,angel,Ecommerce,ex_bigtech,Failure
2,20,133,38.12515771,308445,5.476797711,166092.9498,tier1_vc,Ecommerce,academic,Acquisition
1,18,152,12.28732327,644015,8.839608672,1885768.697,tier2_vc,Ecommerce,ex_bigtech,Acquisition
4,7,59,1.563551883,50949,8.300126889,190052.8567,angel,Climate,serial_founder,Failure
5,21,141,38.47225826,429513,8.662585302,1648265.457,none,Crypto,first_time,Acquisition
2,20,6,14.57828439,332066,22.87917132,492528.0063,angel,AI,ex_bigtech,Failure
1,12,20,14.92432257,344111,19.41471764,496328.6584,tier2_vc,Ecommerce,ex_bigtech,Failure
3,6,207,40.89405798,305972,7.403488784,508228.0338,tier2_vc,Ecommerce,academic,Failure
2,12,120,83.5168612,133631,42.01254218,561440.042,angel,Ecommerce,first_time,Failure
5,24,131,20.73543164,671186,12.62592188,513575.9212,angel,SaaS,academic,Acquisition
5,17,40,15.93910787,504404,12.14331332,607490.545,none,AI,first_time,Acquisition
5,1,37,8.380655836,524337,9.470318997,1353978.056,angel,Climate,first_time,Acquisition
1,21,205,27.07598753,363088,17.88141479,605493.078,tier2_vc,Health,first_time,Acquisition
0,7,170,9.630148144,301316,11.56373059,779931.0246,tier1_vc,Ecommerce,first_time,Failure
1,9,67,19.10290691,260145,2.298125782,801710.7354,none,AI,academic,Failure
2,4,49,44.04182986,337053,11.80115411,1140343.679,tier2_vc,SaaS,first_time,Failure
1,23,105,10.58783014,639826,21.6763447,1205355.79,none,Climate,first_time,Acquisition
0,9,109,31.55441612,113893,126.2820018,369447.0604,none,Crypto,first_time,Failure
2,22,122,9.585212312,98133,10.29745059,417849.9578,tier2_vc,Fintech,academic,Failure
2,10,172,73.44349734,651945,19.64231847,3077988.314,angel,Ecommerce,first_time,IPO
1,17,241,10.75113028,471352,14.36421893,1956759.456,tier2_vc,Climate,first_time,Acquisition
0,11,186,1.69182272,410451,22.59376928,237564.1582,angel,AI,serial_founder,Acquisition
3,2,208,5.861761907,109251,11.74415555,218741.0319,angel,Climate,first_time,Failure
3,15,264,17.31083852,457856,19.42058402,1478836.767,none,Fintech,academic,Failure
1,21,170,41.48365661,383678,6.997165573,1593918.737,tier2_vc,Crypto,ex_bigtech,Acquisition
0,23,173,20.60257157,879823,10.24985841,2871392.972,none,Health,first_time,IPO
0,23,51,10.54277892,204167,8.814768359,990286.9426,angel,Fintech,first_time,Failure
4,9,21,1.294844998,176969,30.08836669,640163.2254,none,Ecommerce,academic,Failure
1,7,214,114.6035701,161658,29.37078502,782574.4406,none,SaaS,first_time,Failure
3,13,268,31.78581245,490437,3.547604812,1115535.892,tier1_vc,AI,academic,Failure
4,8,228,7.774987942,100750,4.515605053,179263.23,tier2_vc,Health,ex_bigtech,Acquisition
1,11,53,24.61150433,380479,12.6629167,363547.9364,tier1_vc,Fintech,serial_founder,Failure
1,3,116,11.23277335,62595,31.3071028,234654.0741,angel,Ecommerce,academic,Failure
0,18,234,8.444572404,223751,50.98139062,1097070.309,tier2_vc,AI,first_time,Failure
0,24,7,21.49866122,321066,5.556739766,1561585.285,none,Climate,first_time,Acquisition
0,9,175,11.33763498,131819,7.346046805,374712.6019,angel,AI,first_time,Failure
3,3,292,6.125581079,303731,8.706914072,713239.0725,tier2_vc,Health,academic,Failure
2,12,183,51.47813131,26725,14.9398423,15509.28326,none,Fintech,serial_founder,Failure
2,4,148,45.22210665,284689,13.61124488,344570.3606,none,AI,serial_founder,Acquisition
1,20,78,7.328454505,467724,16.28582903,362578.8062,angel,SaaS,academic,Failure
2,7,252,13.07823036,362061,11.3294204,657228.0112,none,Climate,first_time,Failure
2,16,65,15.00452844,374546,8.010307367,1505743.025,none,Climate,serial_founder,Acquisition
0,21,207,176.8360276,414966,19.94363652,1929133.755,tier1_vc,Crypto,serial_founder,Failure
1,2,167,37.17685771,193537,5.246739101,423213.9823,tier2_vc,Ecommerce,first_time,Failure
3,3,167,15.91546824,48724,1.194824173,48477.32307,tier1_vc,Climate,first_time,Failure
4,20,263,5.333119285,108583,12.03070866,249805.5312,none,AI,first_time,Acquisition
3,17,108,7.228437536,370188,9.897561685,1695922.353,tier2_vc,Fintech,first_time,IPO
0,5,249,3.723915213,200690,11.28233413,922653.4316,angel,Crypto,serial_founder,Failure
0,21,188,82.1366633,139093,31.16468472,326159.2376,none,SaaS,first_time,Failure
0,12,258,16.55260728,173687,7.368382455,138690.618,tier2_vc,SaaS,academic,Failure
1,21,87,49.54252136,258078,4.96737781,336131.0115,tier2_vc,AI,serial_founder,Acquisition
2,17,298,2.716695313,405764,6.717578514,1895222.902,none,AI,first_time,IPO
2,22,180,49.3366251,343223,7.791234905,624856.7587,tier1_vc,Ecommerce,serial_founder,Failure
5,12,93,11.47562185,257703,5.227362502,783477.3662,tier1_vc,Health,academic,Failure
1,4,17,10.24759027,104501,9.949099841,313089.9541,none,SaaS,ex_bigtech,Failure
3,21,131,47.95752977,275247,12.15425818,263567.9217,angel,Crypto,ex_bigtech,Failure
4,3,86,7.540573847,530694,44.93589293,1561541.008,angel,AI,serial_founder,Acquisition
2,20,246,33.45946118,332833,13.31518856,1640152.933,tier1_vc,Health,ex_bigtech,Acquisition
3,21,278,7.00380323,363803,9.688900416,1527755.543,tier1_vc,Health,ex_bigtech,Acquisition
2,5,11,10.36838589,74114,11.72232574,220463.044,none,SaaS,first_time,Failure
1,14,264,16.2846271,365039,10.30670211,723100.8778,tier2_vc,Crypto,ex_bigtech,Failure
4,24,130,53.72127303,201573,5.437187263,249368.7278,tier2_vc,Ecommerce,academic,Acquisition
1,1,280,8.779110156,362135,24.91942409,1157718.607,none,Fintech,first_time,Failure
3,13,223,19.69015656,225894,7.82744651,797189.7938,none,Health,first_time,Acquisition
1,12,280,53.87492833,168364,55.1285798,778612.493,angel,Health,ex_bigtech,Failure
1,21,44,17.06768456,118797,36.05546981,235198.6386,none,Crypto,serial_founder,Failure
3,0,214,8.966949037,190053,14.34390514,652610.1937,tier1_vc,Health,first_time,Failure
0,7,130,44.54547675,276070,27.72068123,818200.0821,tier2_vc,Crypto,first_time,Failure
1,23,144,274.2570912,298037,6.098602915,1402128.645,angel,Ecommerce,ex_bigtech,Acquisition
1,0,142,35.42709601,107903,11.65335799,348081.584,tier1_vc,Health,first_time,Failure
0,2,78,66.31951715,6606,8.568455963,27190.20059,tier2_vc,AI,academic,Failure
1,20,204,43.54888673,192514,21.22415397,353473.806,tier1_vc,Crypto,academic,Failure
2,0,254,18.19664873,222038,13.35128727,847155.2213,tier2_vc,Climate,academic,Acquisition
0,11,65,407.7239332,171712,27.00316039,556536.6855,tier2_vc,SaaS,first_time,Failure
3,12,114,4.488728884,422948,20.78183459,1782790.639,angel,SaaS,first_time,Acquisition
4,3,34,22.85310879,350560,10.5853607,1607408.837,tier2_vc,Climate,ex_bigtech,Acquisition
4,6,55,4.278702976,376966,4.657667026,655958.124,tier2_vc,SaaS,ex_bigtech,Acquisition
1,1,134,182.8081196,564268,37.40385458,334986.2491,tier2_vc,Health,ex_bigtech,Failure
1,3,73,5.548331442,253059,8.758194663,916112.4871,tier1_vc,SaaS,academic,Failure
0,5,237,21.26307702,150581,4.334964078,349144.6972,tier2_vc,Climate,serial_founder,Failure
0,4,236,49.58161956,281320,20.69032112,237679.4548,none,AI,ex_bigtech,Failure
4,23,8,21.93157713,593581,20.16664968,2648308.804,none,Health,academic,Acquisition
2,23,130,20.23097973,265372,3.964447824,686507.0633,angel,AI,ex_bigtech,Acquisition
1,2,116,12.8472519,323699,52.80804976,1081875.913,none,Fintech,serial_founder,Acquisition
1,2,28,5.284303276,62860,12.919127,104539.8219,none,Crypto,first_time,Failure
3,17,52,15.90869208,213117,42.85320956,202420.5082,angel,Crypto,academic,Acquisition
4,9,64,13.94193374,438226,16.21001289,1112664.14,tier2_vc,AI,first_time,Acquisition
4,1,295,5.960346317,187922,10.83721288,879841.4734,tier1_vc,Climate,ex_bigtech,Failure
3,23,275,32.02226072,347658,10.74758689,512983.4234,tier2_vc,Health,first_time,Failure
2,5,271,12.88298006,120208,16.72164081,357432.9241,tier2_vc,SaaS,serial_founder,Failure
2,18,234,12.10086543,291715,107.9795421,396048.4062,tier1_vc,SaaS,ex_bigtech,Failure
0,15,215,29.90460702,262174,4.988620819,1020450.525,tier2_vc,Crypto,ex_bigtech,Acquisition
4,2,153,11.53387257,618516,2.921807004,1360040.553,none,Fintech,first_time,Acquisition
2,14,257,13.25531708,322492,27.20864909,803006.3902,tier2_vc,Climate,ex_bigtech,Acquisition
5,22,182,39.01596074,62905,6.371560262,156768.5562,tier2_vc,Crypto,ex_bigtech,Acquisition
2,9,298,8.545245774,359162,6.13916565,1080039.698,none,SaaS,first_time,Acquisition
0,15,21,15.15529811,474928,56.15394626,656507.0956,none,Health,first_time,Failure
3,16,7,3.553838022,322952,3.435192752,1129093.229,tier1_vc,SaaS,serial_founder,Failure
5,0,237,34.28635427,72998,24.24299788,234278.2658,tier2_vc,Health,ex_bigtech,Failure
1,7,166,70.09415543,509839,11.38833334,2286508.327,angel,Health,first_time,Acquisition
0,18,165,15.92655962,64853,15.55916253,195071.3732,none,SaaS,serial_founder,Failure
8,12,212,102.1452644,208153,2.636536433,987845.6055,tier1_vc,SaaS,first_time,Acquisition
1,11,45,48.42885264,347272,53.97470489,1207974.543,tier2_vc,Climate,first_time,Acquisition
2,22,141,8.109503731,154101,2.025547655,398028.2863,tier2_vc,AI,ex_bigtech,Acquisition
3,22,271,15.71627355,333151,20.49479987,1074793.108,angel,SaaS,serial_founder,Acquisition
4,12,134,45.02833419,237694,30.49451979,191122.7831,none,Crypto,academic,Failure
3,2,137,17.20592789,108865,3.913733037,386475.2019,tier2_vc,Climate,first_time,Failure
0,22,122,23.27155791,210014,4.642722901,752267.9892,angel,Climate,first_time,Failure
0,20,228,8.896735572,147765,11.53294007,699145.1155,tier2_vc,Health,ex_bigtech,Failure
3,12,44,29.37890692,578647,6.301888038,364899.5082,tier2_vc,AI,first_time,Acquisition
1,2,174,68.94074865,369343,4.034814276,430571.6756,none,Crypto,academic,Acquisition
2,23,194,14.58952206,293585,9.355470606,791286.9458,tier1_vc,Fintech,ex_bigtech,Acquisition
3,0,140,19.9613025,364391,5.428361579,298296.6781,none,Crypto,serial_founder,Failure
5,16,250,79.28935199,255868,12.41753656,1043585.956,tier2_vc,SaaS,first_time,Acquisition
2,3,85,18.91007972,456623,18.59795645,1493715.251,angel,SaaS,serial_founder,Failure
3,17,163,8.882523533,344051,24.55800992,1707656.25,tier1_vc,Health,first_time,Acquisition
2,22,194,3.991919658,221562,1.220614338,1089232.124,angel,Crypto,academic,Acquisition
0,15,291,57.10707476,86456,9.914514936,153214.9296,tier2_vc,Climate,academic,Acquisition
0,18,222,86.68647004,211558,8.263799303,860172.9983,tier1_vc,Ecommerce,first_time,Failure
1,8,22,17.50982333,271814,4.964188799,1027027.975,angel,Crypto,first_time,Failure
1,20,225,13.82929369,266906,8.063414967,899358.4277,tier2_vc,Crypto,ex_bigtech,Failure
3,0,114,14.73074504,318150,5.15031343,803134.2761,tier2_vc,Ecommerce,first_time,Acquisition
1,12,120,64.77822826,430435,95.58574514,1820533.539,none,Climate,academic,Failure
0,15,251,38.65804272,404729,6.085311157,1342100.546,none,Climate,ex_bigtech,Acquisition
1,13,87,9.268526792,470084,14.79495177,313332.361,none,AI,first_time,Acquisition
1,18,184,40.75354064,505214,21.14779169,642992.152,tier2_vc,SaaS,first_time,Failure
0,22,83,67.024209,191085,25.13116833,128880.8433,angel,Health,first_time,Failure
1,11,264,5.207005818,805126,14.08797655,3811294.088,none,Crypto,first_time,IPO
2,6,246,42.15795058,360626,21.09233562,1201133.707,tier2_vc,Health,ex_bigtech,Acquisition
0,15,299,32.86526435,46518,5.977850364,110831.9722,angel,Ecommerce,first_time,Failure
2,6,233,37.33928208,162445,9.867619427,154771.0962,tier2_vc,SaaS,first_time,Failure
2,20,113,21.56872777,179298,6.364187073,302735.0677,none,Crypto,ex_bigtech,Failure
3,17,169,17.10158896,364193,11.54888318,1492896.174,tier2_vc,SaaS,first_time,Acquisition
1,9,250,25.62966785,206843,6.860686965,103981.5351,tier2_vc,AI,academic,Failure
2,1,11,11.9586064,187438,4.463364073,395501.9325,tier1_vc,Crypto,serial_founder,Failure
2,17,209,3.16572377,418051,27.94005147,1295574.053,tier2_vc,SaaS,first_time,IPO
3,24,256,17.11065581,294562,14.94746083,1141940.778,tier2_vc,Climate,academic,Acquisition
1,2,256,81.49099561,79533,33.34738044,292943.145,angel,Climate,academic,Failure
2,16,55,57.36646965,217576,48.82593222,497732.1278,angel,Fintech,first_time,Failure
1,14,190,26.81372484,203722,4.915082974,123032.4606,tier2_vc,Health,first_time,Failure
0,23,258,27.55478776,666312,6.717595836,1870384.49,tier2_vc,Health,serial_founder,Acquisition
1,11,87,4.327836948,247327,14.84993063,901352.7068,tier2_vc,Ecommerce,academic,Failure
1,0,22,28.9771092,650173,33.41926327,808351.5062,none,Crypto,serial_founder,Failure
5,10,159,2.772851901,283914,6.36453227,882319.2345,none,Fintech,academic,Failure
3,4,290,6.138102135,804489,8.10311185,972684.2679,tier2_vc,Crypto,academic,Failure
0,4,235,43.3119961,305614,9.623785319,1110012.365,angel,SaaS,serial_founder,Failure
1,15,72,25.6164708,385008,9.067125157,304642.2218,angel,Climate,academic,Failure
2,4,288,33.38893875,154819,3.090806934,226494.215,tier1_vc,SaaS,ex_bigtech,Failure
3,5,169,10.40187207,195918,5.096100252,458600.4057,tier1_vc,Climate,first_time,Failure
1,20,192,32.04683471,329631,19.21062829,578131.5711,tier2_vc,Fintech,ex_bigtech,Failure
1,9,18,10.97407435,476789,16.03338758,1544868.085,angel,Crypto,ex_bigtech,Failure
1,24,212,19.03158999,406837,8.125502238,1478787.254,tier1_vc,Ecommerce,serial_founder,Acquisition
1,23,247,16.97692408,286512,3.655494185,1247388.198,tier1_vc,SaaS,first_time,Failure
3,2,38,10.40632213,226319,7.592487582,336224.5353,angel,Climate,ex_bigtech,Failure
4,11,132,13.87691031,238372,16.13521791,475505.5011,angel,Ecommerce,ex_bigtech,Failure
1,10,241,70.21421448,49897,15.62749373,28682.60234,tier1_vc,Fintech,first_time,Failure
3,22,37,51.39330143,65363,12.93289411,67447.99413,angel,AI,ex_bigtech,Failure
2,24,10,18.54770438,394954,12.3022905,1494714.12,tier2_vc,SaaS,academic,Failure
2,2,193,37.75749714,320073,4.155789899,367618.6065,none,AI,academic,Failure
0,4,199,73.94549713,333041,14.04424104,1018612.624,tier2_vc,AI,academic,Failure
2,3,219,9.771595818,126364,7.749813272,273947.0119,tier2_vc,Health,first_time,Failure
1,15,188,8.672095882,108593,27.28774229,364990.0507,angel,Fintech,ex_bigtech,Failure
1,16,26,14.05794232,182052,14.98061117,100494.221,none,Crypto,first_time,Failure
1,16,256,14.02063627,51851,17.99157113,152563.8234,tier1_vc,AI,serial_founder,Failure
0,1,52,14.26089351,458289,8.992835966,1633989.608,none,Climate,serial_founder,Failure
3,19,86,25.59946614,68885,11.28177362,101614.5092,tier1_vc,Ecommerce,first_time,Failure
4,16,156,24.17640258,69605,17.05375764,81766.63943,angel,Crypto,first_time,Failure
4,0,161,22.85533683,214902,11.87875274,844756.4923,angel,Fintech,serial_founder,Acquisition
2,8,31,79.67833253,331767,18.4484339,953832.6997,angel,Fintech,first_time,Failure
0,2,17,161.6573891,6585,15.56355657,8232.049112,tier2_vc,Fintech,academic,Failure
3,13,30,12.09596445,124932,1.474190701,499502.5757,angel,Health,serial_founder,Failure
2,8,196,22.20868712,148212,11.33009494,206088.3237,tier2_vc,Ecommerce,ex_bigtech,Failure
1,8,273,8.100513343,419556,12.10153149,794650.3608,angel,Fintech,first_time,Failure
2,14,5,31.30158724,265284,29.21819214,143089.7794,angel,Health,ex_bigtech,Failure
3,1,119,28.08350189,391170,24.89622976,817724.102,tier2_vc,Ecommerce,first_time,Acquisition
2,21,287,24.98907343,596872,17.03823509,1558547.235,tier2_vc,Health,ex_bigtech,Acquisition
2,6,295,41.78631235,172198,4.348803493,112253.1547,tier1_vc,Climate,serial_founder,Failure
4,2,163,15.55158557,451938,2.558648853,1847473.027,tier2_vc,Crypto,ex_bigtech,Acquisition
0,14,122,16.46302345,348557,24.99377536,1129670.861,none,Crypto,serial_founder,Failure
3,20,45,11.93382464,244932,21.54329653,1118463.046,tier1_vc,SaaS,first_time,Acquisition
5,5,150,86.90791006,330161,7.891750032,263652.4665,none,Crypto,first_time,Acquisition
1,20,155,7.675134016,58751,39.79566178,111527.7051,tier2_vc,AI,serial_founder,Failure
1,2,119,12.18021626,628161,10.08378953,1092239.393,angel,Health,serial_founder,Acquisition
3,21,265,9.329495676,768623,9.725426366,865671.7759,none,Ecommerce,ex_bigtech,Acquisition
1,4,275,125.4394184,581703,12.77201474,1786577.937,tier2_vc,SaaS,first_time,Acquisition
1,21,230,120.3836849,478540,16.72099596,1338253.14,tier1_vc,AI,first_time,Acquisition
2,13,131,7.878953306,257705,15.0776518,618954.0931,angel,Ecommerce,first_time,Failure
2,5,51,35.7609423,221857,5.000284127,614691.2597,angel,Health,first_time,Failure
3,24,113,40.25763068,104150,6.526261662,320503.8322,none,Ecommerce,first_time,Acquisition
1,5,244,21.81444293,441635,39.08247604,1967710.206,angel,SaaS,ex_bigtech,Failure
3,12,90,26.5507536,55059,16.04249621,50193.8935,tier2_vc,SaaS,first_time,Failure
2,17,110,9.939497904,223015,14.59972663,245009.573,angel,AI,serial_founder,Failure
2,14,102,33.49968807,719675,11.53465295,2058971.792,none,Crypto,first_time,Acquisition
6,24,5,54.66233026,416749,5.661802853,328717.4463,angel,Climate,academic,Acquisition
3,17,57,2.959186512,230315,6.450938125,762105.9916,angel,Health,first_time,Failure
3,2,103,93.25237677,323887,10.52992382,1170726.226,angel,SaaS,first_time,Failure
2,17,223,13.77615121,456883,5.973946653,1461523.442,tier1_vc,AI,first_time,Acquisition
4,7,32,57.29638093,591938,10.62324831,2079972.534,none,Fintech,ex_bigtech,IPO
0,23,295,82.91254262,196901,9.989573406,913327.1824,none,Crypto,ex_bigtech,Failure
2,0,136,63.96076345,323983,39.41199129,910202.3616,tier2_vc,Health,first_time,Acquisition
1,11,51,36.67870172,294183,12.2649696,747565.8122,tier2_vc,Fintech,ex_bigtech,Failure
3,8,259,26.2148993,179280,4.710816435,131618.9308,none,AI,serial_founder,Failure
2,12,261,3.200952944,51420,44.90179605,126446.7284,angel,Crypto,first_time,Failure
1,16,37,27.58333537,281672,2.021156842,1312719.411,angel,Climate,first_time,Acquisition
1,0,257,33.72891295,76982,19.92483081,344766.3486,tier2_vc,SaaS,ex_bigtech,Failure
3,6,155,18.58426181,162629,7.716540272,755682.5623,tier1_vc,AI,ex_bigtech,Acquisition
1,21,206,21.03575605,194799,7.774209859,769196.8785,tier2_vc,Health,serial_founder,Acquisition
1,7,73,71.52079989,193259,2.298713417,143448.6892,tier1_vc,AI,first_time,Failure
2,0,57,15.86160765,266938,6.955415062,265133.9039,angel,SaaS,serial_founder,Failure
0,10,36,35.13245894,379319,3.254775417,639593.0465,tier2_vc,Crypto,serial_founder,Failure
3,6,134,23.77012115,429342,41.11531239,1505249.817,angel,Climate,first_time,Acquisition
3,14,128,48.2014979,382297,13.52251834,1054257.384,tier2_vc,AI,ex_bigtech,Acquisition
1,8,14,10.98592866,443751,38.33883148,664939.2827,tier2_vc,Crypto,academic,Acquisition
2,7,20,42.46833833,109237,9.316355029,296199.0794,tier1_vc,AI,ex_bigtech,Failure
3,1,167,31.95002315,139900,9.914999668,471868.6439,angel,Health,ex_bigtech,Failure
2,20,273,107.153704,436860,2.705551336,1014080.04,none,Ecommerce,first_time,Acquisition
3,19,181,13.18577947,133790,43.51744459,613197.824,tier2_vc,Ecommerce,academic,Acquisition
2,7,133,10.70234087,383356,13.00587321,1779120.21,tier2_vc,Fintech,academic,Acquisition
0,23,56,53.01529769,303507,8.310323779,866102.6459,none,AI,first_time,Failure
1,19,273,27.55968837,845555,22.5250777,1000720.365,tier2_vc,Fintech,first_time,Acquisition
1,21,23,9.985224539,411716,44.71079276,1147103.472,tier2_vc,Fintech,first_time,Acquisition
1,5,149,5.149771738,67769,12.98449129,103886.5982,tier1_vc,Health,serial_founder,Failure
